State,County,Name,Contact Info,Billing Street 1,City,State,Zipcode,Types Accepted,Restrictions,Transportation,Steps,URL,Donation link,Counties served
Pennsylvania,Philadelphia County,Philabundance,215.339.0900,3616 S. Galloway Street,Philadelphia,PA,19148,,,,,www.philabundance.org,https://www.philabundance.org/donate/,"Burlington, Camden, Gloucester, Salem, Bucks, Chester, Delaware, Montgomery, Philadelphia"
Pennsylvania,Luzerne County,H & J Weinberg Northeast Pennsylvania Regional Food Bank,570.826.0510,185 Research Drive,Pittston,PA,18640,,,,,www.ceopeoplehelpingpeople.org,https://www.ceopeoplehelpingpeople.org/donate,"Lackawanna, Luzerne, Susquehanna, Wyoming"
Pennsylvania,Berks County,Helping Harvest,610.926.5802,117 Morgan Drive,Reading,PA,19608,,,,,helpingharvest.org/,https://helpingharvest.org/donate/,"Berks, Schuylkill"
Pennsylvania,Mercer County,Community Food Warehouse of Mercer County,724.981.0353,"109 S Sharpsville Avenue, Suite A",Sharon,PA,16146,,,,,www.foodwarehouse.org/,https://www.foodwarehouse.org/donate,Mercer
Puerto Rico,Carolina,Banco de Alimentos de Puerto Rico,787.740.3663,"Urbanization Country Club Park C / 272 IC4, PO Box 3990",Carolina,PR,00984,,,,,alimentospr.org/,https://alimentospr.org/donate-now/,"Adjuntas, Aguada, Aguadilla, Aguas Buenas, Aibonito, Anasco, Arecibo, Arroyo, Barceloneta, Barranquitas, Bayamon, Cabo Rojo, Caguas, Camuy, Canovanas, Carolina, Catano, Cayey, Ceiba, Ciales, Cidra, Coamo, Comerio, Corozal, Culebra, Dorado, Fajardo, Florida, Guanica, Guayama, Guayanilla, Guaynabo, Gurabo, Hatillo, Hormigueros, Humacao, Isabela, Jayuya, Juana Diaz, Juncos, Lajas, Lares, Las Marias, Las Piedras, Loiza, Luquillo, Manati, Maricao, Maunabo, Mayaguez, Moca, Morovis, Naguabo, Naranjito, Orocovis, Patillas, Penuelas, Ponce, Quebradillas, Rincon, Rio Grande, Sabana Grande, Salinas, San German, San Juan, San Lorenzo, San Sebastian, Santa Isabel, Toa Alta, Toa Baja, Trujillo Alto, Utuado, Vega Alta, Vega Baja, Vieques, Villalba, Yabucoa, Yauco"
Rhode Island,Providence County,Rhode Island Community Food Bank,401.942.6325,200 Niantic Ave.,Providence,RI,02907,,,,,www.rifoodbank.org,https://rifoodbank.org/give-now/,"Bristol, Kent, Newport, Providence, Washington"
South Carolina,Charleston County,Lowcountry Food Bank,843.747.8146,2864 Azalea Drive,Charleston,SC,29405,,,,,www.lowcountryfoodbank.org,https://lowcountryfoodbank.org/donate/,"Beaufort, Berkeley, Charleston, Colleton, Dorchester, Georgetown, Hampton, Horry, Jasper, Williamsburg"
South Carolina,Richland County,Harvest Hope Food Bank,803.254.4432,"2220 Shop Road, P.O. Box 451",Columbia,SC,29201,,,,,www.harvesthope.org,https://give.harvesthope.org/checkout/5372,"Calhoun, Chester, Chesterfield, Clarendon, Darlington, Dillon, Fairfield, Florence, Greenville, Kershaw, Laurens, Lee, Lexington, Marion, Marlboro, Newberry, Orangeburg, Richland, Saluda, Sumter"
South Dakota,Minnehaha County,Feeding South Dakota,605.335.0364,4701 N Westport Ave,Sioux Falls,SD,57107,,,,,www.feedingsouthdakota.org,https://feedingsouthdakota.org/how-to-help/donate-funds/,"Aurora, Beadle, Bennett, Bon Homme, Brookings, Brown, Brule, Buffalo, Butte, Campbell, Charles Mix, Clark, Clay, Codington, Corson, Custer, Davison, Day, Deuel, Dewey, Douglas, Edmunds, Fall River, Faulk, Grant, Gregory, Haakon, Hamlin, Hand, Hanson, Harding, Hughes, Hutchinson, Hyde, Jackson, Jerauld, Jones, Kingsbury, Lake, Lawrence, Lincoln, Lyman, Mc Cook, Mc Pherson, Marshall, Meade, Mellette, Miner, Minnehaha, Moody, Oglala Lakota, Pennington, Perkins, Potter, Roberts, Sanborn, Spink, Stanley, Sully, Todd, Tripp, Turner, Union, Walworth, Yankton, Ziebach"
Tennessee,Hamilton County,Chattanooga Area Food Bank,423.622.1800,2009 Curtain Pole Road,Chattanooga,TN,37406,,,,,www.chattfoodbank.org,https://chattfoodbank.org/donate,"Catoosa, Chattooga, Dade, Fannin, Gilmer, Gordon, Murray, Walker, Whitfield, Bledsoe, Bradley, Grundy, Hamilton, Mc Minn, Marion, Meigs, Polk, Rhea, Sequatchie, Van Buren"
Tennessee,Sullivan County,Second Harvest Food Bank of Northeast Tennessee,423.279.0430,1020 Jericho Drive,Kingsport,TN,37663,,,,,www.netfoodbank.org,https://netfoodbank.org/donate/,"Carter, Greene, Hancock, Hawkins, Johnson, Sullivan, Unicoi, Washington"
Tennessee,Blount County,Second Harvest Food Bank of East Tennessee,865.521.0000,136 Harvest Lane,Maryville,TN,37801,,,,,secondharvestetn.org/,https://community.secondharvestetn.org/donate-now,"Anderson, Blount, Campbell, Claiborne, Cocke, Cumberland, Fentress, Grainger, Hamblen, Jefferson, Knox, Loudon, Monroe, Morgan, Roane, Scott, Sevier, Union"
Tennessee,Shelby County,Mid-South Food Bank,901.527.0841,3865 S Perkins Rd,Memphis,TN,38118,,,,,www.midsouthfoodbank.org,https://www.midsouthfoodbank.org/ways-to-give-donate,"Crittenden, Alcorn, Benton, Coahoma, De Soto, Itawamba, Lafayette, Lee, Marshall, Monroe, Panola, Pontotoc, Prentiss, Quitman, Tate, Tippah, Tishomingo, Tunica, Union, Crockett, Dyer, Fayette, Hardeman, Haywood, Lake, Lauderdale, Mc Nairy, Madison, Obion, Shelby, Tipton"
Tennessee,Davidson County,Second Harvest Food Bank of Middle Tennessee,615.329.3491,331 Great Circle Road,Nashville,TN,37228,,,,,www.secondharvestmidtn.org,https://www.secondharvestmidtn.org/donate-now/,"Bedford, Benton, Cannon, Carroll, Cheatham, Chester, Clay, Coffee, Davidson, Decatur, Dekalb, Dickson, Franklin, Gibson, Giles, Hardin, Henderson, Henry, Hickman, Houston, Humphreys, Jackson, Lawrence, Lewis, Lincoln, Macon, Marshall, Maury, Montgomery, Moore, Overton, Perry, Pickett, Putnam, Robertson, Rutherford, Smith, Stewart, Sumner, Trousdale, Warren, Wayne, Weakley, White, Williamson, Wilson"
Texas,Taylor County,Food Bank of West Central Texas,325.695.6311,5505 N. First,Abilene,TX,79603,,,,,www.fbwct.org,https://fbwct.org/donate-money/,"Brown, Callahan, Coleman, Comanche, Eastland, Fisher, Jones, Mitchell, Nolan, Runnels, Shackelford, Stephens, Taylor"
Texas,Potter County,High Plains Food Bank,806.374.8562,"815 S. Ross, PO Box 31803",Amarillo,TX,79120,,,,,www.hpfb.org/,https://www.hpfb.org/donate,"Armstrong, Briscoe, Carson, Castro, Childress, Collingsworth, Cottle, Dallam, Deaf Smith, Donley, Gray, Hale, Hall, Hansford, Hardeman, Hartley, Hemphill, Hutchinson, Lipscomb, Moore, Ochiltree, Oldham, Parmer, Potter, Randall, Roberts, Sherman, Swisher, Wheeler"
Texas,Travis County,Central Texas Food Bank,512.282.2111,6500 Metropolis Drive,Austin,TX,78744,,,,,www.centraltexasfoodbank.org/,https://secure3.convio.net/cafbtx/site/Donation2?df_id=10203&mfc_pref=T&10203.donation=form1,"Bastrop, Bell, Blanco, Burnet, Caldwell, Coryell, Falls, Fayette, Freestone, Gillespie, Hays, Lampasas, Lee, Limestone, Llano, Mc Lennan, Milam, Mills, San Saba, Travis, Williamson"
Texas,Jefferson County,Southeast Texas Food Bank,409.839.8777,"3845 Martin Luther King Parkway, P O Box 21012",Beaumont,TX,77705,,,,,setxfoodbank.org/,https://setxfoodbank.org/donate/,"Hardin, Jasper, Jefferson, Newton, Orange, Polk, Sabine, Tyler"
Texas,Nueces County,Coastal Bend Food Bank,361.887.6291,826 Krill St.,Corpus Christi,TX,78408,,,,,coastalbendfoodbank.org/,https://coastalbendfoodbank.org/get-involved/,"Aransas, Bee, Brooks, Duval, Jim Wells, Kenedy, Kleberg, Live Oak, Mc Mullen, Nueces, San Patricio"
Texas,El Paso County,El Pasoans Fighting Hunger,915.298.0353,9541 Plaza Circle,El Paso,TX,79927,,,,,elpasoansfightinghunger.org/,https://elpasoansfightinghunger.org/donate,"Culberson, El Paso, Hudspeth"
Texas,Tarrant County,Tarrant Area Food Bank,817.857.7100,2600 Cullen,Ft. Worth,TX,76107,,,,,www.tafb.org,https://tafb.org/donate,"Bosque, Cooke, Denton, Erath, Hamilton, Hill, Hood, Johnson, Palo Pinto, Parker, Somervell, Tarrant, Wise"
Texas,Harris County,Houston Food Bank,713.223.3700,535 Portwall Street,Houston,TX,77029,,,,,www.HoustonFoodBank.org,https://www.houstonfoodbank.org/ways-to-give/give-funds,"Austin, Brazoria, Brazos, Burleson, Chambers, Fort Bend, Galveston, Grimes, Harris, Liberty, Madison, Montgomery, Robertson, San Jacinto, Trinity, Walker, Waller, Washington"
Texas,Webb County,South Texas Food Bank,956.726.3120,2121 Jefferson St.,Laredo,TX,78040,,,,,www.southtexasfoodbank.org/,https://www.southtexasfoodbank.org//donate,"Dimmit, Jim Hogg, Kinney, Maverick, Starr, Val Verde, Webb, Zapata"
Texas,Lubbock County,South Plains Food Bank,806.763.3003,5605 MLK Boulevard,Lubbock,TX,79404,,,,,www.spfb.org,https://www.spfb.org/donate,"Bailey, Cochran, Crosby, Dickens, Floyd, Gaines, Garza, Hale, Hockley, Kent, King, Lamb, Lubbock, Lynn, Motley, Scurry, Stonewall, Terry, Yoakum"
Texas,Ector County,West Texas Food Bank,432.580.6333,411 S. Pagewood Ave.,Odessa,TX,79761,,,,,wtxfoodbank.org/,https://wtxfoodbank.org/donate/,"Andrews, Borden, Brewster, Crane, Dawson, Ector, Glasscock, Howard, Jeff Davis, Loving, Martin, Midland, Pecos, Presidio, Reeves, Terrell, Upton, Ward, Winkler"
Texas,Hidalgo County,Food Bank of the Rio Grande Valley,956.682.8101,724 N. Cage Blvd.,Pharr,TX,78577,,,,,www.foodbankrgv.com/,https://www.foodbankrgv.com/howtohelp-2/donate-money/,"Cameron, Hidalgo, Willacy"
Texas,Collin County,North Texas Food Bank,214.330.1396,3677 Mapleshade Lane,Plano,TX,75075,,,,,www.ntfb.org,https://give.ntfb.org/site/Donation2?1400.donation=form1&df_id=1400&mfc_pref=T,"Collin, Dallas, Delta, Denton, Ellis, Fannin, Grayson, Hopkins, Hunt, Kaufman, Lamar, Navarro, Rockwall"
Texas,Bexar County,San Antonio Food Bank,210.337.3663,5200 Enrique M Barrera Pkwy,San Antonio,TX,78227,,,,,www.safoodbank.org,https://safoodbank.org/donate/,"Atascosa, Bandera, Bexar, Coke, Comal, Concho, Crockett, Edwards, Frio, Guadalupe, Irion, Karnes, Kendall, Kerr, Kimble, La Salle, Mc Culloch, Mason, Medina, Menard, Reagan, Real, Schleicher, Sterling, Sutton, Tom Green, Uvalde, Wilson, Zavala"
Texas,Smith County,East Texas Food Bank,903.597.3663,3201 Robertson Road,Tyler,TX,75701,,,,,www.easttexasfoodbank.org/,https://www.easttexasfoodbank.org/donatenow/,"Anderson, Angelina, Bowie, Camp, Cass, Cherokee, Franklin, Gregg, Harrison, Henderson, Houston, Leon, Marion, Morris, Nacogdoches, Panola, Rains, Red River, Rusk, San Augustine, Shelby, Smith, Titus, Upshur, Van Zandt, Wood"
Texas,Victoria County,Food Bank of the Golden Crescent,361.578.0591,"801 South Laurent, P.O.Box 5085",Victoria,TX,77901,,,,,www.tfbgc.org/,https://www.tfbgc.org/donate,"Calhoun, Colorado, De Witt, Goliad, Gonzales, Jackson, Lavaca, Matagorda, Refugio, Victoria, Wharton"
Texas,Wichita County,Wichita Falls Area Food Bank,940.766.2322,"1230 Midwestern Parkway, PO Box 623",Wichita Falls,TX,76307,,,,,www.wfafb.org/,https://donatenow.networkforgood.org/wfafb,"Archer, Baylor, Clay, Foard, Haskell, Jack, Knox, Montague, Throckmorton, Wichita, Wilbarger, Young"
Utah,Salt Lake County,Utah Food Bank,801.978.2452,3150 South 900 West,Salt Lake City,UT,84119,,,,,www.utahfoodbank.org,https://www.utahfoodbank.org/give-money,"Beaver, Box Elder, Cache, Carbon, Daggett, Davis, Duchesne, Emery, Garfield, Grand, Iron, Juab, Kane, Millard, Morgan, Piute, Rich, Salt Lake, San Juan, Sanpete, Sevier, Summit, Tooele, Uintah, Utah, Wasatch, Washington, Wayne, Weber"
Virginia,Spotsylvania County,Fredericksburg Regional Food Bank,540.371.7666,"3631 Lee Hill Drive, PO Box 1006",Fredericksburg,VA,22408,,,,,www.fredfood.org/,https://fredfood.org/donate,"Caroline, King George, Orange, Spotsylvania, Stafford, Fredericksburg (City)"
Virginia,Hampton city,Virginia Peninsula Foodbank,757.596.7188,2401 Aluminum Avenue,Hampton,VA,23661,,,,,hrfoodbank.org/,https://secure3.convio.net/fbvp/site/Donation2?df_id=3821&mfc_pref=T&3821.donation=form1&_ga=2.49914018.500997383.1619626406-2099344125.1619626406,"Gloucester, James City, Mathews, Surry, York, Hampton City (City), Newport News (City), Poquoson (City), Williamsburg (City)"
Virginia,Norfolk city,Foodbank of Southeastern Virginia and the Eastern Shore,757.627.6599,"800 Tidewater Drive, PO Box 1940",Norfolk,VA,23504,,,,,foodbankonline.org/,https://foodbankonline.org/how-to-help/donate-funds/donate-now/,"Accomack, Isle Of Wight, Northampton, Southampton, Sussex, Chesapeake City (City), Franklin (City), Norfolk (City), Portsmouth (City), Suffolk (City), Virginia Beach (City)"
Virginia,Richmond city,Feed More,804.521.2500,1415 Rhoadmiller Street,Richmond,VA,23220,,,,,www.feedmore.org,https://give.feedmore.org/give/153066/#!/donation/checkout,"Amelia, Brunswick, Charles City, Charlotte, Chesterfield, Cumberland, Dinwiddie, Essex, Goochland, Greensville, Halifax, Hanover, Henrico, King And Queen, King William, Lancaster, Louisa, Lunenburg, Mecklenburg, Middlesex, New Kent, Northumberland, Nottoway, Powhatan, Prince Edward, Prince George, Richmond, Sussex, Westmoreland, Colonial Heights (City), Emporia (City), Hopewell (City), Petersburg (City), Richmond (City)"
Virginia,Salem city,Feeding Southwest Virginia,540.342.3011,1025 Electric Road,Salem,VA,24153,,,,,www.feedingswva.org/,https://www.feedingswva.org/donate-now/,"Alleghany, Bedford, Bland, Botetourt, Buchanan, Carroll, Craig, Dickenson, Floyd, Franklin, Giles, Grayson, Henry, Lee, Montgomery, Patrick, Pittsylvania, Pulaski, Roanoke, Russell, Scott, Smyth, Tazewell, Washington, Wise, Wythe, Bristol (City), Covington (City), Danville (City), Galax (City), Martinsville (City), Norton (City), Radford (City), Roanoke (City), Salem (City)"
Virginia,Augusta County,Blue Ridge Area Food Bank,540.248.3663,"96 Laurel Hill Road, P.O. Box 937",Verona,VA,24482,,,,,www.brafb.org/,https://www.brafb.org/give-now/,"Albemarle, Amherst, Appomattox, Augusta, Bath, Bedford, Buckingham, Campbell, Clarke, Culpeper, Fauquier, Fluvanna, Frederick, Greene, Highland, Loudoun, Madison, Nelson, Orange, Page, Rappahannock, Rockbridge, Rockingham, Shenandoah, Warren, Buena Vista (City), Charlottesville (City), Harrisonburg (City), Lexington (City), Lynchburg (City), Staunton (City), Waynesboro (City), Winchester (City)"
Vermont,Washington County,Vermont Foodbank,802.476.3341,33 Parker Road,Barre,VT,05641,,,,,www.vtfoodbank.org/,https://www.vtfoodbank.org/give-money,"Addison, Bennington, Caledonia, Chittenden, Essex, Franklin, Grand Isle, Lamoille, Orange, Orleans, Rutland, Washington, Windham, Windsor"
Washington,King County,Food Lifeline,206.545.6600,815 South 96th Street,Seattle,WA,98108,,,,,www.foodlifeline.org,https://foodlifeline.org/donatefunds/,"Clallam, Cowlitz, Grays Harbor, Island, Jefferson, King, Kitsap, Lewis, Mason, Pacific, Pierce, San Juan, Skagit, Snohomish, Thurston, Wahkiakum, Whatcom"
Washington,Spokane County,Second Harvest Inland Northwest,509.534.6678,1234 E. Front Avenue,Spokane,WA,99202,,,,,www.2-harvest.org,https://2-harvest.org/donate-now/,"Benewah, Bonner, Boundary, Kootenai, Shoshone, Adams, Asotin, Benton, Chelan, Columbia, Douglas, Ferry, Franklin, Garfield, Grant, Kittitas, Klickitat, Lincoln, Okanogan, Pend Oreille, Skamania, Spokane, Stevens, Walla Walla, Whitman, Yakima"
Wisconsin,Dane County,Second Harvest Foodbank of Southern Wisconsin,608.223.9121,2802 Dairy Drive,Madison,WI,53718,,,,,www.secondharvestmadison.org/,https://www.secondharvestmadison.org/donation-pages/donate,"Adams, Columbia, Crawford, Dane, Dodge, Grant, Green, Iowa, Jefferson, Juneau, Lafayette, Monroe, Richland, Rock, Sauk, Vernon"
Wisconsin,Milwaukee County,Feeding America Eastern Wisconsin,414.931.7400,1700 W. Fond Du Lac Avenue,Milwaukee,WI,53205,,,,,www.feedingamericawi.org/,https://feedingamericawi.org/donate-now/,"Brown, Calumet, Dodge, Door, Florence, Fond Du Lac, Forest, Green Lake, Jefferson, Kenosha, Kewaunee, Langlade, Lincoln, Manitowoc, Marathon, Marinette, Marquette, Menominee, Milwaukee, Oconto, Oneida, Outagamie, Ozaukee, Portage, Racine, Shawano, Sheboygan, Vilas, Walworth, Washington, Waukesha, Waupaca, Waushara, Winnebago, Wood"
West Virginia,Braxton County,Mountaineer Food Bank,304.364.5518,484 Enterprise Drive,Gassaway,WV,26624,,,,,www.mountaineerfoodbank.org,https://www.mountaineerfoodbank.org/home/donate1,"Barbour, Berkeley, Boone, Braxton, Brooke, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Mc Dowell, Marion, Marshall, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Webster, Wetzel, Wirt, Wood, Wyoming"
West Virginia,Cabell County,Facing Hunger Foodbank,304.523.6029,1327 Seventh Avenue,Huntington,WV,25701,,,,,facinghunger.org,https://facinghunger.org/how-to-help/donate-funds,"Boyd, Greenup, Lawrence, Martin, Lawrence, Cabell, Lincoln, Logan, Mason, Mingo, Putnam, Wayne"
